,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
1468,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1469,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1470,ACwO,ACwO DwOTS 121,Deep Plum,Wireless,4.7,54,,₹949,"₹3,599",74%
1471,Number,Number Super Buds 555 ANC (32db),Black Dune,Wireless,3.8,21,,"₹1,199","₹7,999",85%
1472,Portronics,Portronics Harmonics Twins 28 ANC,Black,,3.8,60,,"₹1,499","₹2,999",50%
1473,In,"In-Ear Headphone For Samsung Galaxy M21s, M22, M23, M30, M30s, M30s, M31 Prime, M31s, M32 5G, M33, M40, M42 5G, M51, M52 5G, M53, M62, Note 10, Note 10+ plus, Note 9 In- Ear Headphone |",,Wired,5.0,1,,₹330,₹799,59%
1474,One,One Plus Nord Buds True,,Wireless,1.0,2,,₹849,"₹2,999",72%
1475,Portronics,Portronics Harmonics Twins S9 True,White,Wireless,3.8,109,,₹999,"₹2,499",60%
1476,Boat,Boat Rockerz 245 pro,Super Low,,3.5,"1,834",,₹999,"₹2,990",67%
1477,OOGE,OOGE Beat 5,PureTone,Wired,3.9,121,50+ bought in past month,₹298,₹599,50%
1478,JBL,JBL Tune 230NC,Blue,,3.4,"29,226",,"₹4,499","₹7,999",44%
1479,USB,USB Type-C,,,,,,₹370,"₹1,999",81%
1480,Wired,Wired,,Wired,4.5,2,,₹297,₹499,40%
1481,Moto,"Moto Buds with Hi-Res Audio, Large 12.4mm Driver, 42 hrs Playback & IPx4 Rating",Kiwi Green,Wireless,4.5,5,,,,
1482,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1483,pTron,"pTron Boom Ultima 4D Dual Driver,",Dark Blue,Wired,3.6,"42,490",1K+ bought in past month,₹299,"₹1,900",84%
1484,pTron,pTron Bassbuds NX,Mint Green,Wireless,3.6,689,,₹599,"₹2,599",77%
1485,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1486,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1487,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1488,Concept,Concept Kart 7Hz x Crinacle Zero 2,Silver,Wired,4.3,66,,"₹2,603","₹3,099",16%
1489,PLAYFULLY,PLAYFULLY Fashion,Black,Wireless,3.5,5,,₹499,₹899,44%
1490,Type,Type-C,CAK,,,,,₹399,₹999,60%
1491,iFAST,iFAST Digital Display,,Wireless,5.0,5,,"₹1,699","₹3,499",51%
1492,Concept,Concept Kart Kz Castor Iem,,Wired,4.1,103,,"₹1,662","₹2,499",33%
1493,pTron,pTron Newly Launched Bassbuds B91 Plus,Blue,,3.3,136,,₹799,"₹3,199",75%
1494,Spigen,Spigen Audio Newly Launched SA-TW P10 True,,Wireless,3.8,68,,"₹3,399","₹4,099",17%
1495,Wireless,Wireless,,Wireless,,,,"₹1,499","₹1,999",25%
1496,GOVO,GOVO GOKIXX 421,Platinum Black,Wireless,3.6,78,,₹376,"₹3,299",89%
1497,CASON,CASON KZ EDX Pro X IEM,Grey,Wired,,,,"₹1,111","₹2,995",63%
1498,MadRabbit,MadRabbit Drift,Black,,3.0,21,,₹996,"₹4,599",78%
1499,Portronics,Portronics Harmonics Z2,Black,Wireless,3.8,377,,₹749,"₹1,999",63%
1500,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1501,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1502,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1503,Noise,Noise Newly Launched Buds Connect 2,True Purple,Wireless,3.8,308,,"₹1,299","₹3,999",68%
1504,SHOPTIME,SHOPTIME,VR,Wired,,,,₹349,₹999,65%
1505,M19,M19,,Wireless,,,,₹479,₹749,36%
1506,pTron,pTron Bassbuds Air,Pearl Black,,3.7,"6,799",,₹799,"₹2,599",69%
1507,ACwO,ACwO DwOTS 747,Raisin Black,,3.6,62,,"₹1,699","₹6,999",76%
1508,Belkin,Belkin Soundform Rhythm True,,Wireless,4.6,170,,"₹2,499","₹4,999",50%
1509,Wired,Wired,,Wired,,,,₹330,₹799,59%
1510,Cintlug,"Cintlug Eकlota BT Music Neckband with Mic, Heavy Bass Sound, 40 Hours Battery Up, Low Latency",,,,,,₹399,"₹1,499",73%
1511,Sony,Sony WF-C500,,,3.9,"2,904",,"₹4,490","₹8,990",50%
1512,Bud,Bud,,Wireless,,,,₹699,"₹1,299",46%
1513,Vibez,Vibez by Lifelong,VBNE,Wireless,3.4,26,,"₹1,099","₹5,500",80%
1514,,(Refurbished) OnePlus Bullets Z2,Refurbished,Wireless,3.2,89,,"₹1,358",,15%
1515,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1516,pTron,"pTron Boom Ultima 4D Dual Driver,",Dark Blue,Wired,3.6,"42,490",1K+ bought in past month,₹299,"₹1,900",84%
1517,pTron,pTron Bassbuds NX,Mint Green,Wireless,3.6,689,,₹599,"₹2,599",77%
1518,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1519,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1520,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1521,HAMMER,HAMMER Nova,Green,Wired,3.2,350,,₹299,₹999,70%
1522,Cosmic,Cosmic Byte CosmoBuds X50 True,TWS,Wireless,3.8,"1,017",,₹810,"₹2,999",73%
1523,T,T ZED,Black,Wireless,,,,₹528,"₹2,499",79%
1524,Sony,Sony WF-C500,,,4.0,478,,"₹4,388","₹8,990",51%
1525,REDWIND,REDWIND Earbud Caps for,,,3.6,131,,₹169,₹499,66%
1526,Number,Number Super Buds Pro GT9,Army Green,Wireless,3.1,38,50+ bought in past month,"₹1,099","₹3,999",73%
1527,Sound,Sound Boss Boom Beatz,,Wireless,5.0,2,,₹460,"₹1,999",77%
1528,DUDAO,DUDAO X3C,Black,Wired,2.7,42,,₹359,"₹1,490",76%
1529,Redmi,,Refurbished,,3.0,34,,"₹1,049",,
1530,Noise,Noise Newly Launched Buds Xero,Upto,Wireless,3.6,303,,"₹3,999","₹6,999",43%
1531,TANGZU,TANGZU WAN’ER S.G,,Wired,4.0,47,,"₹2,374","₹3,699",36%
1532,Skullcandy,Skullcandy Jib In-Ear,,Wired,3.9,"1,523",,₹833,"₹1,999",58%
1533,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1534,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1535,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1536,boAt,boAt Immortal Katana Blade 2.0,Gray,,2.4,191,,"₹2,349","₹4,999",53%
1537,for,for iPhone,Lightning,Wired,,,,₹479,"₹1,599",70%
1538,INVICTO,INVICTO Newly Launched T9,ACTIVE BLUE,Wireless,3.2,27,,₹378,₹699,46%
1539,Noise,Noise Newly Launched Buds Connect 2,Mint Green,Wireless,3.8,308,,"₹1,299","₹3,999",68%
1540,HOPPUP,HOPPUP AirDoze Fusion,,,3.6,414,,₹599,"₹4,999",88%
1541,JO25,JO25,,Wireless,,,,₹498,"₹1,599",69%
1542,SIGNATIZE,SIGNATIZE,,Wired,,,,₹189,₹999,81%
1543,Black,Black-R ENC,Gray,Wireless,2.5,4,,₹244,,
1544,Wireless,Wireless,,Wireless,,,,₹499,₹599,17%
1545,Wireless,Wireless,,Wireless,3.0,2,,₹399,₹999,60%
1546,pTron,pTron Bassbuds Razer,Blue,,3.6,215,,₹799,"₹2,599",69%
1547,SYVO,SYVO S40,Black,Wireless,4.4,186,,₹799,"₹3,999",80%
1548,pTron,"pTron Boom Ultima 4D Dual Driver,",Dark Blue,Wired,3.6,"42,490",1K+ bought in past month,₹299,"₹1,900",84%
1549,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1550,Motast,Motast,Black,Wireless,4.2,"12,346",,"₹1,299","₹4,999",74%
1551,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1552,Noise,Noise Newly Launched Buds VS601,Cobalt Blue,Wireless,3.8,397,1K+ bought in past month,"₹1,399","₹3,999",65%
1553,PHILIPS,PHILIPS TAT1150BK/94 Premium,Deep Black,Wireless,2.9,20,100+ bought in past month,"₹1,999","₹3,999",50%
1554,bAot,bAot Neckband with 48 Hours Playback Deep Bass with Magnetic Buds,Black,,1.9,4,,₹599,"₹1,999",70%
1555,truke,truke New Launch Buds Echo True,Orange,Wireless,4.3,216,,"₹1,299","₹3,999",68%
1556,CASON,CASON KZ EDX Pro X IEM,Cyan,Wired,,,,"₹1,111","₹2,995",63%
1557,Beats,Beats Solo Buds —,,Wireless,4.1,877,,"₹6,199","₹6,900",10%
1558,H,H.P Sales®,White,Wireless,,,,₹399,₹999,60%
1559,HOPPUP,HOPPUP AirDoze S40,Wine,Wireless,3.1,6,,₹599,"₹3,999",85%
1560,CrossBeats,CrossBeats Slide,,Wireless,3.8,284,,"₹1,090","₹5,999",82%
1561,Skullcandy,Skullcandy Jib,,Wired,4.0,"1,183",,₹823,"₹1,999",59%
1562,Type,Type-C,TVI,Wired,5.0,1,,₹499,₹999,50%
1563,Concept,Concept Kart Kz Zst X,Zstx With,Wired,4.2,371,,"₹2,042","₹2,399",15%
1564,Careflection,Careflection 6-in-1 Multi Combo Spiral Cable Protectors +,,,3.9,508,,₹339,₹999,66%
1565,iFAST,iFAST Digital Display,,Wireless,3.8,8,,"₹2,199","₹4,499",51%
1566,Noise,Noise Newly Launched Air Buds Pro 6,up to,Wireless,4.0,"2,844",200+ bought in past month,"₹2,999","₹3,999",25%
1567,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1568,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1569,DwOTS,,,,4.2,7,,"₹2,599","₹10,999",76%
1570,ND,ND Venus,Type,Wired,3.6,50,,"₹1,092","₹1,499",27%
1571,Premium,Premium Type-C,,Wired,,,,₹559,"₹1,999",72%
1572,boAt,"boAt Airdopes 800 HiDef, Hi-Res Audio LDAC, 4Mic ENx, App Support, ASAP Charge, IPX5, Low Latency, Dual Pairing, BTv5.3,",Sterling Silver,Wireless,4.0,"3,927",,"₹2,299","₹7,490",69%
1573,boAt,"boAt Airdopes 800 HiDef, Hi-Res Audio LDAC, 4Mic ENx, App Support, ASAP Charge, IPX5, Low Latency, Dual Pairing, BTv5.3,",Emerald Green,Wireless,4.0,"3,927",,"₹2,299","₹7,490",69%
1574,in,in-Ear True,Echo,Wireless,,,,₹849,"₹2,999",72%
1575,pTron,pTron Basspods P681,Pearl Black,Wireless,3.4,"7,207",,₹699,"₹3,199",78%
1576,Skullcandy,Skullcandy Rail ANC,,Wireless,4.0,"2,109",,"₹7,999","₹29,999",73%
1577,Probuds,Probuds N32,with Mic,Wireless,4.2,"1,576",,"₹1,099","₹2,999",63%
1578,Earphones,Earphones BT R20 for Realme Pad 2 Earphone Original Like,VR,Wired,1.0,2,,₹349,₹999,65%
1579,Number,,Tangy Beige,,3.8,18,,₹999,"₹5,999",83%
1580,EVM,EVM EnBuds Pro,EVM,Wireless,3.5,10,,₹620,"₹3,499",82%
1581,JLab,JLab Go Pop ANC Active Noise Cancelling,,Wireless,4.2,893,50+ bought in past month,"₹1,899","₹2,999",37%
1582,truke,truke Newly Launched Buds Liberty Open Ear,,Wireless,3.8,859,700+ bought in past month,"₹1,599","₹6,999",77%
1583,Kratos,Kratos,,Wireless,3.9,292,100+ bought in past month,₹799,"₹2,999",73%
1584,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1585,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1586,pTron,pTron Bassbuds Gomax,Blue,Wireless,3.5,374,,₹799,"₹2,899",72%
1587,TYPE,TYPE-C Earphone for Sony Xperia 10 III,,Wired,1.6,5,,₹430,₹799,46%
1588,Bluetooth,Bluetooth,,Wireless,,,,₹699,"₹2,199",68%
1589,Honeywell,Honeywell Moxie V50,,Wired,3.6,627,50+ bought in past month,₹398,₹899,56%
1590,itel,"itel Buds Ace ANC, ANC (~25dB), 50HRS Playtime, AI ENC, 10mm Drivers, Fast Charging, IPX5, v5.3",Cranberry,Wireless,4.1,70,,"₹1,399","₹3,999",65%
1591,OOGE,OOGE Tune 26,Black,Wireless,2.0,1,,₹499,"₹1,999",75%
1592,Number,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm Speakers, ENC, 45ms Low Latency",White Sky,,3.1,14,,₹699,"₹3,999",83%
1593,HyperX,HyperX Cloud,,Wired,4.1,"1,288",,"₹3,988","₹5,187",23%
1594,Mivi,Mivi SuperPods Concerto [Flagship Launch] Dolby Audio,,Wireless,2.9,108,,"₹2,999","₹6,999",57%
1595,Skullcandy,Skullcandy Jib,,Wired,3.8,"6,814",,₹637,₹999,36%
1596,Motast,Motast,Black,Wireless,4.2,"12,346",,"₹1,299","₹4,999",74%
1597,VEHOP,VEHOP OWS,,Wireless,3.5,10,,"₹1,236","₹4,999",75%
1598,OPPO,OPPO Enco Air3 Pro True,White,Wireless,4.2,998,,"₹5,500","₹7,500",27%
1599,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1600,JLab,JLab Go Pop ANC Active Noise Cancelling,,Wireless,4.2,893,50+ bought in past month,"₹1,899","₹2,999",37%
1601,Ambrane,Ambrane Stringz 38,Green,Wired,3.8,"22,547",700+ bought in past month,₹249,₹449,45%
1602,Number,,Beast Green,,3.8,18,,₹999,"₹5,999",83%
1603,Galaxy,"Galaxy Buds2 Pro, with Innovative AI Features,",Black,Wireless,,,,"₹2,849","₹8,999",68%
1604,Fastrack,Fastrack Fpods FX101|BT5.4,,,3.6,"3,432",,"₹1,172","₹3,495",66%
1605,JBL,JBL New Launch Tune Buds 2,White,,4.0,580,,"₹5,499","₹7,999",31%
1606,Leaf,Leaf Rush X342,Bass,,3.7,346,,₹699,"₹1,999",65%
1607,Earphones,Earphones for Samsung Galaxy A83 / A 83,YS,Wired,3.9,7,,₹399,₹999,60%
1608,Concept,Concept Kart Kz Zst X,,Wired,4.2,371,,"₹2,042","₹2,599",21%
1609,VEHOP,VEHOP OpenGo OWS Open Ear,,Wireless,4.2,8,,₹959,"₹4,999",81%
1610,Wireless,Wireless,,Wireless,,,,₹335,₹999,66%
1611,NAMNKIT,NAMNKIT® Air Pods 2,White,Wireless,3.0,1,,₹389,₹999,61%
1612,Number,Number Super Buds 999 ANC,Steel Red,Wireless,3.9,31,,₹999,"₹7,999",88%
1613,Honeywell,Honeywell Moxie V50,,Wired,3.6,627,,₹399,₹899,56%
1614,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1615,Noise,Noise Buds VS402,Neon White,Wireless,3.8,"12,186",200+ bought in past month,"₹1,399","₹3,999",65%
1616,Noise,Noise Buds VS104,Midnight Blue,Wireless,3.8,"26,469",1K+ bought in past month,"₹1,099","₹3,499",69%
