,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
1167,boAt,"boAt Airdopes 800 HiDef, Hi-Res Audio LDAC, 4Mic ENx, App Support, ASAP Charge, IPX5, Low Latency, Dual Pairing, BTv5.3,",Aazure Blue,Wireless,4.0,"3,927",50+ bought in past month,"₹2,299","₹7,490",69%
1168,Mivi,"Mivi SuperPods Halo [Flagship Launch], 35dB ANC Active Noise Cancellation",,Wireless,3.9,"5,110",50+ bought in past month,"₹1,999","₹7,499",73%
1169,JBL,JBL Vibe Beam,TWS,Wireless,3.5,"28,272",50+ bought in past month,"₹2,499","₹5,999",58%
1170,Oraimo,Oraimo,White,Wired,3.8,"1,228",,₹299,,
1171,ng,ng EarSafe Lite Open Ear Air Conduction,,,3.6,386,,"₹1,999","₹2,999",33%
1172,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1173,soundcore,"soundcore A30I by Anker,Noise Cancelling",,,3.6,"1,479",50+ bought in past month,"₹2,299","₹4,998",54%
1174,,(Refurbished) Mi,Refurbished,Wired,3.8,667,50+ bought in past month,₹348,,30%
1175,ZEBRONICS,"ZEBRONICS RAGA F2,",Magnetic Play,,3.9,40,50+ bought in past month,₹899,"₹4,999",82%
1176,truke,truke Buds Q1 True,Black,Wireless,3.7,"12,428",,₹899,"₹3,499",74%
1177,Earphones,Earphones for Realme GT Neo/RealmeGT Neo Earphone Original Like,,Wired,,,,₹349,₹999,65%
1178,iFAST,iFAST Digital Display,,Wireless,5.0,8,,"₹1,699","₹3,499",51%
1179,bAot,bAot 102 Neckband Upto 50 Hours Playtime | Deep Bass | Quick Charge |,Blue,,,,,₹599,"₹1,999",70%
1180,OOGE,OOGE Beat 1,White,Wired,3.9,121,50+ bought in past month,₹149,₹349,57%
1181,Edifier,Edifier P180 Plus,White,Wired,4.2,168,,₹890,"₹1,490",40%
1182,soundcore,soundcore Liberty 4 NC,,Wireless,3.6,"17,505",,"₹6,499","₹15,998",59%
1183,Skullcandy,Skullcandy Push Play Active,,Wireless,4.1,409,,"₹5,999","₹19,999",70%
1184,pTron,pTron Bassbuds Sports,Coal Black,,3.4,"72,362",,₹699,"₹3,999",83%
1185,Ambrane,Ambrane Stringz 38,Green,Wired,3.8,"22,547",700+ bought in past month,₹249,₹449,45%
1186,truke,truke Mega 9 New Launch True,,Wireless,4.7,94,200+ bought in past month,"₹1,299","₹3,999",68%
1187,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1188,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1189,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1190,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1191,Number,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm Speakers, ENC, 45ms Low Latency",Green Stone,,3.1,14,,₹699,"₹3,999",83%
1192,Concept,Concept Kart Kz Zsn Pro 2,,Wired,4.0,109,,"₹2,374","₹2,999",21%
1193,Number,Number Super Buds Pro GT99,Glass Mint,Wireless,3.3,136,,₹799,"₹4,999",84%
1194,boAt,"boAt Airdopes 191 ANC, 32dB ANC, Ambient Mode, 60HRS Battery, 4Mics ENx,",Pellucid Blue,Wireless,3.1,264,100+ bought in past month,"₹1,699","₹6,990",76%
1195,Honeywell,Honeywell Suono P60,,Wired,3.4,558,50+ bought in past month,₹499,₹899,44%
