,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
432,Realme,Realme buds,Black,Wireless,4.2,19198,50+ ,1599,2999,47,least bought
433,Humble,Humble,Black,Wired,4.0,84,500+ ,299,1499,80,least bought
434,Ptron,Ptron pride lite,Metallic black,Wired,3.8,5714,300+ ,249,899,72,least bought
435,Noise,Noise airwave pro,Upto,Wireless,3.7,85,200+ ,1499,3999,63,least bought
436,Skullcandy,Skullcandy jib in ear,Black,Wired,3.9,3433,200+ ,399,1999,80,least bought
437,Truke,Truke new launch btg flex true,Black,Wireless,3.9,590,200+ ,999,3499,71,least bought
438,Mivi,Mivi duopods i2 true,Black,Wireless,3.7,5310,300+ ,999,2999,67,least bought
439,Boat,"Boat immortal 181, 40hrs battery, 4mics enx, 40ms low latency, rgb led lights, fast charge, iwp tech, v5.3",Black sabre,Wireless,3.6,428,400+ ,1299,3499,63,least bought
440,Ptron,"Ptron newly launched tangent evolve with 34hrs playtime, hd mic, pristine sound,",Black,Wireless,4.0,149,100+ ,599,1999,70,least bought
441,Boult,Boult audio z20,Black,Wireless,3.7,17049,100+ ,999,5499,82,least bought
442,Huawei,"Huawei freebuds se 2, 40-hour battery life, compact and comfortable to grip, 3 hours of music playback on a 10-minute charge, ip54 dust & splash resistance, robust",White,Wireless,4.5,7872,200+ ,2999,4499,33,least bought
443,Soundcore,Soundcore by anker r50i vi true,White,Wireless,4.3,38372,200+ ,1298,2249,42,least bought
444,Boult,Boult audio bassbuds loop 2,Teal blue,Wired,3.8,15714,300+ ,299,999,70,least bought
445,Boat,Boat rockerz 245 pro,Super low,Wireless,3.6,1977,100+ ,999,2990,67,least bought
446,Boat,Boat airdopes 181,Low latency,Wireless,3.7,19157,100+ ,749,2990,75,least bought
447,Zebronics,Zebronics zeb-buds c2,Red,Wired,3.6,2174,200+ ,299,699,57,least bought
448,Truke,Truke new launch btg ultra true,Black,Wireless,3.8,1355,300+ ,899,2999,70,least bought
449,Amazon,Amazon basics,Ab,Wireless,3.3,414,100+ ,599,2499,76,least bought
450,Boat,Boat rockerz 235 pro,Furious blue,Wireless,3.8,213,200+ ,899,2490,64,least bought
451,Signatize,Signatize tp troops,Black,Wireless,3.8,3,100+ ,299,999,70,least bought
452,Jlab,Jlab go pop anc active noise cancelling,Black,Wireless,4.2,893,50+ ,1899,2999,37,least bought
453,Concept,"Concept kart kz edx pro iem earphone, hifi stereo special dual magnetic circuit dynamic driver resin inlay metal process in-ear monitors",Black,Wireless,3.8,1636,100+ ,1092,1999,45,least bought
454,Boat,Boat bassheads 162 v2,Calm blue,Wired,3.1,132,200+ ,399,990,60,least bought
455,Signatize,Signatize,Black,Wireless,5.0,2,50+ ,359,999,64,least bought
456,Original,Original type c earphone compatible with samsung s24,Black,Wired,5.0,1,50+ ,819,1099,25,least bought
457,Jbl,Jbl new launch tune beam 2,Turquoise,Wireless,4.0,580,200+ ,5999,11999,50,least bought
458,Sony,Sony wf-c700n noise cancellation,Black,Wireless,3.8,3864,100+ ,7989,12990,38,least bought
459,Zebronics,Zebronics zeb buds c2,Blue,Wired,3.6,2194,500+ ,549,699,21,least bought
460,Noise,Noise buds vs402,Neon white,Wireless,3.8,12186,200+ ,1399,3999,65,least bought
461,Redmi,Redmi buds 5c,Black,Wireless,4.0,2725,300+ ,1799,4999,64,least bought
462,Noise,Noise airwave pro,Upto,Wireless,4.0,51,100+ ,1499,3999,63,least bought
463,Ambrane,Ambrane type-c,Stringz,Wired,3.5,463,100+ ,329,799,59,least bought
464,Oneplus,Oneplus buds pro 3,Black,Wireless,4.2,523,200+ ,11999,13999,14,least bought
465,Realme,Realme buds,Yellow,Wireless,3.8,8681,100+ ,1890,5999,68,least bought
466,Oppo,Oppo enco air 2,Black,Wireless,3.8,2223,200+ ,2100,3499,40,least bought
467,Amazon,Amazon basics ep2,Black,Wired,2.8,30,100+ ,272,1499,82,least bought
468,Redmi,Redmi buds 5,Black,Wireless,4.0,2725,200+ ,2499,4999,50,least bought
469,Jbl,Jbl wave buds 2 ear buds,Blue,Wireless,3.6,21112,200+ ,2999,6999,57,least bought
470,Fastrack,Fastrack fpods fx101|bt5.4,Black,Wireless,3.6,3432,100+ ,607,3495,83,least bought
471,Crossbeats,Crossbeats hawk gaming,Black,Wireless,3.7,196,100+ ,2999,7999,63,least bought
472,Noise,Noise newly launched buds verve 2,Stone beige,Wireless,4.0,456,200+ ,1499,3999,63,least bought
473,Kratos,Kratos neckband,Black,Wireless,3.9,141,400+ ,399,1499,73,least bought
474,Sony,Sony mdr-ex14ap,Black,Wired,3.7,1650,400+ ,776,1299,40,least bought
475,Soundcore,"Soundcore k20i by anker, semi-in-ear",Black,Wireless,3.9,2715,100+ ,1299,5598,77,least bought
476,Noise,Noise newly launched air clips,Pearl white,Wireless,2.6,61,200+ ,2999,3999,25,least bought
477,Bouncefit,Bouncefit,Red,Wireless,4.4,65,200+ ,499,2999,83,least bought
478,Boat,Boat airdopes 161 anc,White,Wireless,3.4,13,100+ ,1299,5999,78,least bought
479,Amazon,Amazon basics,Black,Wireless,3.4,991,200+ ,599,1999,70,least bought
480,Redmi,"Redmi buds 6, dual driver",Green,Wireless,4.0,2725,200+ ,2999,4999,40,least bought
481,Jbl,Jbl new launch tune beam 2,White,Wireless,4.0,580,200+ ,5999,8999,33,least bought
482,Hammer,Hammer aeromax anc (32db),White,Wireless,3.6,843,100+ ,1099,5999,82,least bought
483,Jbl,Jbl new launch tune buds 2,Black,Wireless,4.0,580,200+ ,5499,9499,42,least bought
484,Redmi,Redmi buds 5,Tws,Wireless,4.0,2725,200+ ,2499,4999,50,least bought
485,Ambrane,Ambrane stringz 38,Amber orange,Wired,3.8,22547,200+ ,249,449,45,least bought
486,Amazon,Amazon basics,Black,Wired,3.1,44,200+ ,269,999,73,least bought
487,Kz,"Kz edx pro iem earphone, hifi stereo special dual magnetic circuit dynamic driver resin inlay metal process",Black,Wireless,3.8,1636,50+ ,1092,1999,45,least bought
488,Zebronics,Zebronics buds c10,Light blue,Wired,3.6,296,200+ ,499,999,50,least bought
489,Crossbeats,Crossbeats sonic 3,Black,Wireless,4.1,1008,100+ ,1499,6999,79,least bought
490,Boat,Boat airdopes drift,White sabre,Wireless,3.7,72,200+ ,1099,5990,82,least bought
491,Jbl,Jbl wave buds 2 ear buds,Pink,Wireless,3.6,21112,100+ ,2999,6999,57,least bought
492,Amazon,Amazon basics true,White,Wireless,5.0,5,50+ ,699,2499,72,least bought
493,Boat,Boat bassheads 162 v2,Bold black,Wired,3.1,132,200+ ,399,990,60,least bought
494,For,For i-phone,Black,Wired,2.4,3,100+ ,399,2499,84,least bought
495,Boat,"Boat nirvana ion anc, active noise cancellation(~32db), 120hrs battery, app support, crystal bionic sound, 4mics enx, v5.3",Quartz white,Wireless,3.9,17232,300+ ,2499,9990,75,least bought
496,Boult,Boult x mustang dash,Black,Wireless,3.7,1785,400+ ,1499,5999,75,least bought
497,Earphones,Earphones with cover,Black,Wired,5.0,1,100+ ,244,899,73,least bought
498,Zebronics,"Zebronics raga f1,",Magnetic play,Wireless,3.9,40,200+ ,899,3999,78,least bought
499,Crossbeats,Crossbeats fury max gaming,Grey,Wireless,4.2,1261,200+ ,2289,5999,62,least bought
500,Amazon,Amazon basics true,Blue,Wireless,3.1,357,100+ ,549,2999,82,least bought
501,Noise,Noise newly launched buds trooper,Up to,Wireless,3.8,4192,300+ ,999,2999,67,least bought
502,Boat,"Boat nirvana lucid w/ 32 db anc, multi-point connectivity,",Zinc white,Wireless,3.5,247,100+ ,1699,6990,76,least bought
503,Mivi,"Mivi superpods halo [flagship launch], 35db anc active noise cancellation",Black,Wireless,3.9,5110,200+ ,1999,7499,73,least bought
504,Kz,Kz castor,Black,Wired,4.0,183,100+ ,2374,2499,5,least bought
505,Boat,"Boat nirvana ivy, 50db hybrid active noise cancellation, 360º spatial audio,fast charge,app support, v5.3",Gunmetal white,Wireless,3.8,515,100+ ,3299,17990,82,least bought
506,Zebronics,Zebronics mist,Enc,Wireless,3.2,230,100+ ,530,3499,85,least bought
507,Boat,"Boat nirvana ion anc pro, hi-res audio ldac,anc(~32db), 120hrs battery, app support, fast charge, v5.3",Rose quartz,Wireless,3.9,17232,200+ ,2799,13990,80,least bought
508,Truke,Truke new launch buds elite true,White,Wireless,4.1,184,400+ ,799,2299,65,least bought
509,Sony,Sony wf-c500,Black,Wireless,4.0,1493,200+ ,4490,8990,50,least bought
510,Earphones,Earphones for realme 10 earphone original like,Black,Wired,5.0,1,100+ ,349,999,65,least bought
511,Boat,Boat nirvana x,Mist blue,Wireless,4.0,506,200+ ,2499,8990,72,least bought
512,Hoppup,Hoppup airdoze fusion,Black,Wireless,3.6,414,100+ ,599,4999,88,least bought
513,Noise,Noise buds x prime,Champagne white,Wireless,3.8,4192,200+ ,1599,4499,64,least bought
514,Boat,"Boat nirvana ion anc pro, hi-res audio ldac,anc(~32db), 120hrs battery, app support, fast charge, v5.3",Northern lights,Wireless,3.9,17232,200+ ,2799,13990,80,least bought
515,Ptron,Ptron tangent duo,Red,Wireless,3.6,16430,50+ ,399,1899,79,least bought
516,Signatize,Signatize,Red,Wireless,5.0,2,50+ ,359,999,64,least bought
517,Boat,"Boat nirvana ion anc, active noise cancellation(~32db), 120hrs battery, app support, crystal bionic sound, 4mics enx, v5.3",Rose quartz,Wireless,3.9,17232,200+ ,2299,9990,77,least bought
518,Jbl,Jbl vibe beam,Tws,Wireless,3.5,28272,100+ ,2499,5999,58,least bought
519,Boat,Boat nirvana x,Galactic red,Wireless,4.0,506,200+ ,2499,8990,72,least bought
520,Soundcore,"Soundcore by anker,space one,active noise cancelling",Black,Wireless,4.3,3514,100+ ,7999,19998,60,least bought
521,Sony,Sony wf-1000xm5 best active noise cancelling,Black,Wireless,3.8,4163,200+ ,21837,29990,27,least bought
522,Jbl,Jbl tune 310,Red,Wired,3.0,138,100+ ,1499,1999,25,least bought
523,Boat,Boat rockerz 330 pro,Teal green,Wireless,4.0,4257,100+ ,1499,2990,50,least bought
524,Boat,Boat airdopes 301,Arctic whisper,Wireless,3.6,241,100+ ,1099,4990,78,least bought
525,Blaupunkt,Blaupunkt btw100 lite,Black,Wireless,3.8,7005,100+ ,699,3499,80,least bought
526,Truke,Truke air buds lite true,Black,Wireless,3.6,2740,100+ ,699,2999,77,least bought
527,Leaf,Leaf buds x614 true,Carbon black,Wireless,4.1,272,200+ ,987,3999,75,least bought
528,Noise,Noise newly launched air buds 6,Up to,Wireless,4.0,2844,100+ ,2499,3499,29,least bought
529,Tp,Tp troops,Black,Wireless,3.4,22,100+ ,309,1499,79,least bought
530,Jbl,Jbl tune 310,White,Wired,3.2,215,300+ ,1499,1999,25,least bought
531,Sony,Sony mdr-ex15ap ex stereo,Black,Wireless,3.8,7724,100+ ,699,890,21,least bought
532,Truke,Truke new launch buds aura true,Azure blue,Wireless,4.2,408,300+ ,899,2799,68,least bought
533,Boat,Boat rockerz 210 anc,Cosmic blue,Wireless,3.6,1700,100+ ,1499,5990,75,least bought
534,Boat,Boat airdopes 120,Ivory white,Wireless,3.9,6978,50+ ,999,4990,80,least bought
535,Soundcore,Soundcore sport x10 true,Black,Wireless,4.2,9848,100+ ,5999,15998,63,least bought
536,Jlab,Jlab go air sport,Black,Wireless,3.1,19620,100+ ,1799,5499,67,least bought
537,Jbl,Jbl newly launched wave flex,White,Wireless,3.3,4719,200+ ,2799,4999,44,least bought
538,Blaupunkt,Blaupunkt newly launched btw300 moksha+ true anc,Black,Wireless,3.8,7005,100+ ,1799,6499,72,least bought
539,Jbl,Jbl wave buds 2 ear buds,White,Wireless,3.6,21112,100+ ,2999,6999,57,least bought
540,Boult,Boult buds klarity 4 anc,Black,Wireless,3.1,309,100+ ,1299,3999,68,least bought
541,Honeywell,Honeywell moxie v50,Black,Wired,3.6,627,200+ ,399,499,20,least bought
542,Zebronics,Zebronics zeb-buds c2,White,Wired,3.5,1904,100+ ,299,699,57,least bought
543,Boult,Boult audio z20,Green,Wireless,3.7,17049,100+ ,999,5499,82,least bought
544,Boat,"Boat nirvana lucid w/ 32 db anc, multi-point connectivity,",Gunmetal black,Wireless,3.5,247,300+ ,1999,6990,71,least bought
545,Ptron,Ptron basspods p81,Green,Wireless,3.5,374,50+ ,599,2599,77,least bought
546,Airbuds,Airbuds pro 2nd generation with (c-type) charging case (white),White,Wireless,5.0,3,50+ ,999,4999,80,least bought
547,Oneplus,Oneplus buds pro 2,Black,Wireless,4.2,1836,100+ ,7299,13999,48,least bought
548,Wireless,Wireless,Jo,Wireless,1.3,4,100+ ,519,1599,68,least bought
549,Amazon,Amazon basics,Ab,Wireless,3.4,377,400+ ,1099,2499,56,least bought
550,Mivi,Mivi duopods i7,Black,Wireless,3.6,1022,100+ ,999,4999,80,least bought
551,Zebronics,"Zebronics jumbo lite with 70 hours backup,",Upto,Wireless,3.5,540,100+ ,599,2999,80,least bought
552,Concept,Concept kart kz zsn pro x monitor in ear,Zsn pro,Wired,4.1,931,100+ ,2137,3999,47,least bought
553,Gearztouch,Gearztouch gsp,Blk,Wired,5.0,8,50+ ,192,999,81,least bought
554,Ptron,Ptron zenbuds 1 v2 anc,White,Wireless,3.8,1250,50+ ,799,3999,80,least bought
555,Noise,Noise buds connect,Mint green,Wireless,3.7,5071,100+ ,1099,3999,73,least bought
556,Mivi,"Mivi superpods halo [flagship launch], 35db anc active noise cancellation",Black,Wireless,3.9,5110,100+ ,1999,7499,73,least bought
557,Sysfun,Sysfun single,Black,Wireless,3.5,1080,100+ ,599,2999,80,least bought
558,Boat,Boat airdopes 301,Midnight shadow,Wireless,3.6,241,200+ ,1299,4990,74,least bought
559,Signatize,Signatize,Black,Wireless,1.0,1,100+ ,299,999,70,least bought
560,Ambrane,Ambrane type-c,Stringz,Wired,3.5,463,100+ ,299,799,63,least bought
561,Amazon,Amazon basics true,Black,Wireless,3.1,357,100+ ,549,2999,82,least bought
562,Zebronics,"Zebronics zeb-evolve btv5.0, voice assistant, rapid charge, dual pairing, call function, magnetic earpiece",Metallic green,Wireless,3.7,1550,50+ ,499,1499,67,least bought
563,Boat,Boat airdopes 301,Sunset blush,Wireless,3.6,241,100+ ,1099,4990,78,least bought
564,Crossbeats,Crossbeats groov max true,Black,Wireless,3.8,128,100+ ,1998,5999,67,least bought
565,Mivi,Mivi superpods immersio [flagship launch],Black,Wireless,3.9,5110,100+ ,2199,6499,66,least bought
566,Boult,Boult klarity 3 6-mic hybrid anc (upto 50db),Upto,Wireless,3.4,2022,100+ ,1799,5999,70,least bought
567,Gearztouch,Gearztouch gsp,Black,Wired,2.4,15,200+ ,193,2999,94,least bought
568,Boat,Boat airdopes 120,Active black,Wireless,3.9,6978,50+ ,999,4990,80,least bought
569,Noise,Noise buds vs201 v3,Matte black,Wireless,3.7,22896,100+ ,999,2999,67,least bought
570,Sprtoybat,Sprtoybat type c,Black,Wired,4.4,954,50+ ,599,1999,70,least bought
571,Tp,Tp troops neckband,Blue,Wireless,3.0,4,100+ ,329,1299,75,least bought
572,Soundcore,Soundcore r50i nc by anker noise cancelling,Black,Wireless,4.0,6811,100+ ,2099,5598,63,least bought
573,Noise,Noise newly launched air buds pro 6,Up to,Wireless,4.0,2844,100+ ,2999,3999,25,least bought
574,Tech,Tech xpert cmf buds,Black,Wireless,1.0,4,50+ ,1499,2999,50,least bought
575,Redmi,"Redmi buds 6, dual driver",White,Wireless,4.0,2725,100+ ,2999,4999,40,least bought
576,Acwo,Acwo dwots fire india's first,Cosmic silver,Wireless,3.8,705,100+ ,1999,7999,75,least bought
577,Usb,Usb c,Black,Wired,5.0,2,50+ ,799,1999,60,least bought
578,Boat,Boat nirvana iris,Crystal black,Wireless,4.0,16,100+ ,1999,9990,80,least bought
579,Signatize,Signatize,Blue,Wireless,3.2,19,50+ ,299,999,70,least bought
580,Fastrack,Fastrack fpods(new launch) fs100,New launch,Wireless,3.4,546,100+ ,630,3695,83,least bought
581,Mivi,Mivi duopods a750,Black,Wireless,3.6,1439,100+ ,899,3999,78,least bought
582,Honeywell,Honeywell moxie v50,Black,Wired,3.6,627,100+ ,398,1499,73,least bought
583,Signatize,Signatize,Black,Wireless,3.2,19,100+ ,299,999,70,least bought
584,Hoppup,Hoppup predator xo4 gaming,Black,Wireless,3.7,176,100+ ,699,4999,86,least bought
585,Portronics,Portronics harmonics z9,Black,Wireless,3.8,70,100+ ,699,2499,72,least bought
586,Boat,Boat rockerz 330anc,Funky grey,Wireless,3.6,3393,100+ ,1694,4990,66,least bought
587,Edyell,Edyell,Green,Wireless,3.7,137,50+ ,999,5999,83,least bought
588,Ptron,Ptron zenbuds 1 v2 anc,Jet black,Wireless,3.8,318,100+ ,799,3999,80,least bought
589,Gearztouch,Gearztouch l-shot,White,Wired,5.0,8,50+ ,468,1499,69,least bought
590,Triggr,Triggr kraken x2 gaming,Black,Wireless,3.4,104,100+ ,690,3999,83,least bought
591,Jbl,Jbl wave beam 2 ear buds,Blue,Wireless,3.7,731,50+ ,3799,7499,49,least bought
592,Noise,Noise newly launched air buds pro 4,Upto,Wireless,3.6,3728,100+ ,1799,5499,67,least bought
593,Sony,Sony wi-c100,White,Wireless,3.7,11909,50+ ,1699,2790,39,least bought
594,Ptron,Ptron bassbuds duo pro,Green,Wireless,3.5,2362,50+ ,699,2899,76,least bought
595,Zebronics,"Zebronics jumbo lite with 70 hours backup,",Upto,Wireless,3.6,255,100+ ,599,2999,80,least bought
596,Mivi,Mivi duopods i7,Black,Wireless,3.7,269,50+ ,999,4999,80,least bought
597,Fastrack,Fastrack fpods fz100,Black,Wireless,3.6,3432,100+ ,1023,4995,80,least bought
598,Fastrack,Fastrack fpods fq100|bt5.4,Black,Wireless,3.6,3432,100+ ,746,3495,79,least bought
599,Cosmic,Cosmic byte cosmobuds x220 true,Tws,Wireless,3.9,91,50+ ,930,3999,77,least bought
600,Bouncefit,Bouncefit sonic,Black,Wireless,5.0,6,50+ ,474,2999,84,least bought
601,Truke,Truke just launched buds clarity 2 v2 true,Black,Wireless,3.4,1409,50+ ,799,2999,73,least bought
602,Ptron,Ptron zenbuds evo x2,Jet black,Wireless,3.6,41,50+ ,699,3799,82,least bought
603,Beatxp,Beatxp pulse xpods,Black,Wireless,3.5,466,300+ ,700,3299,79,least bought
604,Ptron,Ptron basspods p81,Blue matt,Wireless,3.5,374,50+ ,599,2599,77,least bought
605,Noise,Noise newly launched buds connect 2,Charcoal black,Wireless,3.8,308,100+ ,1299,3999,68,least bought
606,Skullcandy,Skullcandy jib in ear,Black,Wired,3.9,2670,50+ ,399,1999,80,least bought
607,Marshall,Marshall motif ii anc - true,Black,Wireless,3.9,3432,50+ ,17999,20000,10,least bought
608,Boat,Boat rockerz 210 anc,Ruby red,Wireless,3.6,1700,100+ ,1499,5990,75,least bought
609,Amazon,Amazon basics,White,Wireless,3.3,4935,100+ ,649,2999,78,least bought
610,Amazon,Amazon basics true,Black,Wireless,3.3,96,100+ ,759,2499,70,least bought
611,Concept,Concept kart kz edx pro x,Cyan,Wired,4.0,104,50+ ,1234,1399,12,least bought
612,Noise,Noise buds x prime,Sheen green,Wireless,3.8,4192,100+ ,1599,4499,64,least bought
613,Sony,Sony linkbuds s wf-ls900n noise cancellation,Black,Wireless,3.8,4774,100+ ,10990,24990,56,least bought
614,Ooge,Ooge beat 1,Black,Wired,3.9,121,100+ ,148,349,58,least bought
615,Portronics,Portronics harmonics twins s16,Beige,Wireless,3.8,647,100+ ,699,1999,65,least bought
616,Audify,Audify,Black,Wireless,3.3,30,50+ ,299,2599,88,least bought
617,Zebronics,"Zebronics raga f2,",Magnetic play,Wireless,3.9,40,100+ ,899,4999,82,least bought
618,Truke,Truke new launch buds echo true,Black,Wireless,4.3,216,100+ ,1299,3999,68,least bought
619,Jbl,Jbl wave beam 2 ear buds,Pink,Wireless,3.7,731,50+ ,3799,7499,49,least bought
620,Sony,Sony wi-c100,Taupe,Wireless,3.7,11909,100+ ,1699,2790,39,least bought
621,Cca,Cca cra,Black,Wired,4.1,1425,100+ ,1699,2199,23,least bought
622,Kz,Kz castor pro,Black,Wireless,4.0,153,100+ ,1994,2999,34,least bought
623,Jbl,Jbl new launch tune flex 2,White,Wireless,4.0,580,100+ ,5999,10499,43,least bought
624,Boat,"Boat nirvana ion anc, active noise cancellation(~32db), 120hrs battery, app support, crystal bionic sound, 4mics enx, v5.3",Northern lights,Wireless,3.9,17232,100+ ,2299,9990,77,least bought
625,Redmi,Redmi buds 5c,Black,Wireless,4.0,2725,100+ ,1799,4999,64,least bought
626,Portronics,Portronics harmonics z9,Silver,Wireless,3.8,70,100+ ,749,2499,70,least bought
627,Earphones,Earphones,Black,Wired,1.5,19,50+ ,518,1299,60,least bought
628,Soundcore,"Soundcore k20i by anker, semi-in-ear",Black,Wireless,3.9,2715,50+ ,1299,5598,77,least bought
629,Leaf,Leaf buds x614 true,Pure white,Wireless,4.0,141,50+ ,999,3999,75,least bought
630,Jbl,Jbl live pro 2 premium,Blue,Wireless,4.0,4926,50+ ,7999,16999,53,least bought
631,Oneplus,Oneplus buds pro 2r,Black,Wireless,4.0,17554,50+ ,6099,11999,49,least bought
632,Ptron,Ptron bassbuds duo pro,Blue,Wireless,3.6,2412,100+ ,699,2899,76,least bought
633,Noise,Noise newly launched buds trooper,Up to,Wireless,3.8,4192,100+ ,999,2999,67,least bought
634,Skullcandy,Skullcandy jib usb-c,Black,Wired,3.8,18898,100+ ,999,3999,75,least bought
635,Zebronics,"Zebronics pods k3,",Black,Wireless,4.2,24,50+ ,1099,4199,74,least bought
636,Blaupunkt,Blaupunkt em01,Black,Wired,3.9,11594,100+ ,429,1299,67,least bought
637,Soundcore,Soundcore by anker liberty 4 nc,Black,Wireless,3.6,17505,50+ ,4999,11999,58,least bought
638,Amazon,Amazon basics,Purple,Wireless,3.4,991,100+ ,599,1999,70,least bought
639,Noise,Noise buds x ultra,Up to,Wireless,1.7,5,50+ ,2599,4499,42,least bought
640,Amazon,Amazon basics,Blue,Wireless,3.7,23,50+ ,849,1199,29,least bought
641,Zebronics,Zebronics pods k2 in-ear,Black,Wireless,3.8,81,50+ ,899,4499,80,least bought
642,Zebronics,Zebronics buds c10,Dark blue,Wired,3.6,296,50+ ,499,999,50,least bought
643,Soundcore,Soundcore r50i nc by anker noise cancelling in ear,Black,Wireless,4.0,6811,100+ ,2099,5598,63,least bought
644,Honeywell,Honeywell suono p60,Black,Wired,3.4,558,100+ ,499,799,38,least bought
645,Blaupunkt,Blaupunkt newly launched btw100 xtreme,Blue,Wireless,3.8,7005,50+ ,1248,3999,69,least bought
646,Amazon,Amazon basics,White,Wireless,3.4,991,100+ ,599,1999,70,least bought
647,Boat,Boat immortal katana blade 2.0,Gunmetal black,Wireless,2.4,191,100+ ,2399,4999,52,least bought
648,Geekria,"Geekria audio cable compatible with jbl tune 770nc 760nc 750btnc 720bt 710bt 700bt 660nc, live 660nc 650btnc 500bt",Black,Wireless,4.5,353,50+ ,760,912,17,least bought
649,Crossbeats,Crossbeats sonic 3,White,Wireless,4.1,1008,50+ ,1499,6999,79,least bought
650,Skullcandy,Skullcandy dime true,Black,Wireless,3.0,34535,50+ ,1999,7499,73,least bought
651,Hoppup,Hoppup predator xo1 gaming,Black,Wireless,3.8,37,50+ ,699,4999,86,least bought
652,Amazon,Amazon basics,Black,Wireless,3.6,27,100+ ,899,2199,59,least bought
653,Number,Number super buds gt m9 anc (32db),Glass black,Wireless,3.1,64,50+ ,1199,7499,84,least bought
654,Qkz,Qkz hi6t in-ear monitor,Black,Wired,4.0,26,50+ ,598,799,25,least bought
655,Redmi,Redmi buds 5,Tws,Wireless,4.0,2725,50+ ,2499,4999,50,least bought
656,Boat,Boat nirvana zenith,Mystique black,Wireless,2.9,217,100+ ,2494,17999,86,least bought
657,Ptron,Ptron newly launched tangent eon,Blue,Wireless,3.7,2224,50+ ,599,2299,74,least bought
658,Truke,Truke new launch btg flex true,Green,Wireless,3.9,590,50+ ,999,3499,71,least bought
659,Audiocular,Audiocular br,Ofc,Wireless,4.0,198,50+ ,664,999,34,least bought
660,Sennheiser,Sennheiser momentum true,Black copper,Wireless,4.0,1383,50+ ,18990,29990,37,least bought
661,Fastrack,Fastrack fpods fz100,Black,Wireless,3.6,3432,50+ ,1383,4995,72,least bought
662,Sony,Sony wf-c510,Black,Wireless,3.8,1286,100+ ,3989,8990,56,least bought
663,Amazon,Amazon basics,Black,Wireless,3.3,303,50+ ,599,2999,80,least bought
664,Crysendo,Crysendo spiral cable protector | triple color (3 pcs) 1.5 meters | 35+ available colours | cable cord charger protector saver winder for iphone & android charging cables,Black,Wireless,4.2,5926,50+ ,238,849,72,least bought
665,Jbl,Jbl new launch tune flex 2,Turquoise,Wireless,4.0,580,50+ ,5999,9999,40,least bought
666,Amazon,Amazon basics true,Grey,Wireless,3.0,2,100+ ,651,2499,74,least bought
667,Concept,Concept kart kz edx 1dd composite magnetic dynamic driver hifi,Black,Wired,4.2,314,50+ ,949,1999,53,least bought
668,Olivepranc,Olivepranc ultrapods,Black,Wireless,3.0,29,50+ ,340,999,66,least bought
669,Hoppup,Hoppup xo6 gaming,Coal black,Wireless,3.1,7,50+ ,799,4999,84,least bought
670,Zebronics,Zebronics zeb-bro,White,Wired,3.4,59333,50+ ,349,399,13,least bought
671,Noise,Noise newly launched buds trance 2,Up to,Wireless,2.9,410,50+ ,1199,2999,60,least bought
672,Skullcandy,Skullcandy dime 3,Black,Wireless,3.2,5008,50+ ,2992,9999,70,least bought
673,Zebronics,Zebronics sound bomb 7,White,Wireless,3.7,597,100+ ,799,4299,81,least bought
674,Acwo,Acwo dwots bold,Bold black,Wireless,3.1,4,50+ ,2499,11499,78,least bought
675,Zebronics,Zebronics sound bomb 7,Blue,Wireless,3.7,833,100+ ,799,4299,81,least bought
676,Boat,Boat immortal airspeed pro,Black sabre,Wireless,3.9,110,50+ ,1699,6990,76,least bought
677,Hammer,Hammer airflow plus,Emerald green,Wireless,3.7,35,50+ ,699,4999,86,least bought
678,Ptron,"Ptron tangent sports, 60hrs playtime, enc bt5.2 headphone, aptsense 40ms low latency gaming, deep bass, dual pairing, in ear",Green,Wireless,3.3,1141,50+ ,799,2499,68,least bought
679,Ptron,Ptron basspods p81,Mint green,Wireless,3.5,374,50+ ,599,2599,77,least bought
680,Probuds,Probuds n31,With mic,Wireless,4.2,1576,50+ ,999,2499,60,least bought
681,Portronics,Portronics harmonics z10,Black,Wireless,3.4,72,50+ ,549,1999,73,least bought
682,Tozo,Tozo t6 (ergonomic edition),Ergonomic edition,Wireless,4.3,6878,50+ ,1980,4598,57,least bought
683,Soundcore,Soundcore by anker liberty 4 nc,Black,Wireless,3.6,17505,50+ ,5498,15998,66,least bought
684,Samsung,"Samsung galaxy buds2 pro, with innovative ai features,",Bora purple,Wireless,4.3,9456,50+ ,13999,19999,30,least bought
685,Truke,Truke newly launched buds vibe true,Blue,Wireless,3.6,2092,100+ ,899,3999,78,least bought
686,Signatize,Signatize neckband,Blue,Wireless,3.0,2,50+ ,329,999,67,least bought
687,Noise,Noise buds connect,Ivory white,Wireless,3.7,5071,50+ ,1099,3999,73,least bought
688,Earphones,Earphones,Black,Wired,4.0,1,50+ ,469,1599,71,least bought
689,Acwo,Acwo dwots 747,Black,Wireless,3.6,62,50+ ,1699,6999,76,least bought
690,Samsung,Samsung galaxy,White,Wireless,4.3,61,50+ ,13093,24999,48,least bought
691,Beats,Beats flex -,Black,Wireless,4.0,775,50+ ,4499,6999,36,least bought
692,Printme,"Printme� anti-slip silicone ear buds for s7edge s7 s6edge, samsung level u eo-bg920",Piece of,Wireless,3.7,1135,50+ ,187,250,25,least bought
