,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
287,Boat,"Boat rockerz 280 anc w/crystal bionic sound powered by dirac opteo, active noise cancellation, 13mm drivers, asap charge, 24h playback & enx tech in- ear",Gunmetal black,Wireless,3.8,64,500+ ,1299,4990,74,least bought
288,Sennheiser,Sennheiser cx 80s,Black,Wired,4.2,1612,400+ ,1689,2490,32,least bought
289,Ambrane,Ambrane type c,Stringz,Wired,3.8,3127,400+ ,349,899,61,least bought
290,Portronics,Portronics conch sigma c,White,Wired,3.8,102,500+ ,349,799,56,least bought
291,Boat,"Boat nirvana ion anc, active noise cancellation(~32db), 120hrs battery, app support, crystal bionic sound, 4mics enx, v5.3",Crystal black,Wireless,3.9,17232,1k+ ,2499,9990,75,frequently bought
292,Realme,Realme buds,Black,Wireless,3.6,4,200+ ,1099,2499,56,least bought
293,Ambrane,Ambrane type c,Stringz,Wired,3.4,751,600+ ,329,699,53,least bought
294,Ptron,Ptron bassbuds duo pro,Black,Wireless,3.5,2362,400+ ,649,2899,78,least bought
295,Ptron,"Ptron newly launched tangent evolve with 34hrs playtime, hd mic, pristine sound,",Green,Wireless,4.0,149,400+ ,599,1999,70,least bought
296,Boat,"Boat rockerz 255 pro+, 60hrs battery, fast charge, ipx7, dual pairing, low latency, magnetic",Moon white,Wireless,3.9,227086,500+ ,1299,3990,67,least bought
297,Ptron,"Ptron boom ultima v2 dual driver,",Black,Wired,3.6,42490,900+ ,349,1900,82,least bought
298,Amazon,Amazon basics,Light blue,Wireless,3.6,1988,500+ ,499,2499,80,least bought
299,Noise,Noise aura buds,Aura blue,Wireless,4.0,2844,500+ ,1299,4499,71,least bought
300,Noise,Noise newly launched buds vs601,Emerald green,Wireless,3.8,397,500+ ,1399,3999,65,least bought
301,Boult,Boult audio k40 true,Denim blue,Wireless,3.9,7012,500+ ,899,2999,70,least bought
302,Realme,Realme buds air 6,Forrest green,Wireless,4.0,1683,600+ ,3299,5999,45,least bought
303,Original,Original-galaxy,White,Wired,4.0,898,400+ ,320,899,64,least bought
